"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",가곡초등학교,서울특별시 강서구 공항대로36길 74 (내발산동),,37.5557076,126.8361018,서울특별시 강서구청,강서경찰서,Y,1,4,2021-08-17
"초등학교",발산초등학교,서울특별시 강서구 강서로45길 113 (내발산동),,37.55026198,126.8309942,서울특별시 강서구청,강서경찰서,Y,2,10,2021-08-17
"초등학교",방화초등학교,서울특별시 강서구 양천로6길 92 (방화동),,37.56870364,126.8074988,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"초등학교",백석초등학교,서울특별시 강서구 공항대로 491 (등촌동),,37.55364729,126.8624253,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"초등학교",삼정초등학교,서울특별시 강서구 금낭화로 222 (방화동),,37.58050789,126.8104935,서울특별시 강서구청,강서경찰서,Y,1,18,2021-08-17
"초등학교",신곡초등학교,서울특별시 강서구 등촌로13자길 42-14 (화곡동),,37.5390734,126.8560116,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"초등학교",정곡초등학교,서울특별시 강서구 방화대로50길 22 (방화동),,37.5769308,126.818936,서울특별시 강서구청,강서경찰서,Y,1,20,2021-08-17
"유치원",정곡초등학교(병설유치원),서울특별시 강서구 방화대로50길 22 (방화동),,37.5769308,126.818936,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"초등학교",치현초등학교,서울특별시 강서구 방화대로47길 43 (방화동),,37.57591942,126.814673,서울특별시 강서구청,강서경찰서,Y,2,10,2021-08-17
"초등학교",송정초등학교,서울특별시 강서구 공항대로3길 18 (공항동),,37.56223179,126.8102817,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"초등학교",신월초등학교,서울특별시 강서구 강서로31길 48 (화곡동),,37.54036642,126.8394575,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"초등학교",신정초등학교,서울특별시 강서구 곰달래로31가길 27 (화곡동),,37.53207243,126.8523594,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"초등학교",우장초등학교,서울특별시 강서구 화곡로 263 (화곡동),,37.54963737,126.8459831,서울특별시 강서구청,강서경찰서,Y,1,4,2021-08-17
"초등학교",화곡초등학교,서울특별시 강서구 초록마을로 28 (화곡동),,37.5436698,126.8464706,서울특별시 강서구청,강서경찰서,Y,2,10,2021-08-17
"초등학교",가양초등학교,서울특별시 강서구 허준로 186 (가양동),,37.56221656,126.8585205,서울특별시 강서구청,강서경찰서,Y,1,7,2021-08-17
"초등학교",개화초등학교,서울특별시 강서구 양천로 11 (방화동),,37.57394274,126.8046641,서울특별시 강서구청,강서경찰서,Y,2,20,2021-08-17
"초등학교",공진초등학교,서울특별시 강서구 마곡서로 33 (마곡동),,37.557822,126.822611,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"유치원",공진초등학교병설유치원,서울특별시 강서구 마곡서로 33 (마곡동),,37.557822,126.822611,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"초등학교",공항초등학교,서울특별시 강서구 마곡서1로 68 (마곡동),,37.56308924,126.8216478,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"유치원",공항초등학교병설유치원,서울특별시 강서구 마곡서1로 68 (마곡동),,37.56308924,126.8216478,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"초등학교",내발산초등학교,서울특별시 강서구 강서로46길 23 (내발산동),,37.5508811,126.838163,서울특별시 강서구청,강서경찰서,Y,2,7,2021-08-17
"유치원",내발산병설유치원,서울특별시 강서구 강서로46길 23 (내발산동),,37.5508811,126.838163,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"초등학교",등명초등학교,서울특별시 강서구 강서로56나길 34 (등촌동),,37.56089508,126.8423834,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"초등학교",등서초등학교,서울특별시 강서구 화곡로58길 86 (화곡동),,37.551822,126.8550364,서울특별시 강서구청,강서경찰서,Y,2,10,2021-08-17
"초등학교",등양초등학교,서울특별시 강서구 강서로56나길 140 (등촌동),,37.5649455,126.8447608,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"초등학교",등원초등학교,서울특별시 강서구 화곡로65길 90 (등촌동),,37.55981308,126.8500834,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"초등학교",등촌초등학교,서울특별시 강서구 등촌로39길 71 (등촌동),,37.54761251,126.8579416,서울특별시 강서구청,강서경찰서,Y,2,6,2021-08-17
"초등학교",등현초등학교,서울특별시 강서구 화곡로65길 124 (등촌동),,37.56144973,126.8475976,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"초등학교",송화초등학교,서울특별시 강서구 방화대로34길 2 (방화동),,37.56815091,126.8180317,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"초등학교",양천초등학교,서울특별시 강서구 양천로 329 (가양동),,37.5701684,126.8395913,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"초등학교",염창초등학교,서울특별시 강서구 양천로 646-28 (염창동),,37.55322433,126.8676002,서울특별시 강서구청,강서경찰서,Y,2,8,2021-08-17
"초등학교",월정초등학교,서울특별시 강서구 월정로 176 (화곡동),,37.53499572,126.836292,서울특별시 강서구청,강서경찰서,Y,2,12,2021-08-17
"초등학교",탑산초등학교,서울특별시 강서구 허준로 109 (가양동),,37.56701674,126.8523675,서울특별시 강서구청,강서경찰서,Y,1,25,2021-08-17
"초등학교",유석초등학교,서울특별시 강서구 화곡로69길 9 (등촌동),,37.56080163,126.853766,서울특별시 강서구청,강서경찰서,Y,3,12,2021-08-17
"초등학교",염동초등학교,서울특별시 강서구 양천로73길 17 (염창동),,37.55209431,126.872373,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"초등학교",염경초등학교,서울특별시 강서구 양천로69길 49 (염창동),,37.55500148,126.8712574,서울특별시 강서구청,강서경찰서,Y,2,8,2021-08-17
"유치원",염경초등학교병설유치원,서울특별시 강서구 양천로69길 49 (염창동),,37.55500148,126.8712574,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"초등학교",화일초등학교,서울특별시 강서구 까치산로10길 70 (화곡동),,37.54071221,126.847465,서울특별시 강서구청,강서경찰서,Y,2,8,2021-08-17
"유치원",화일초등학교병설유치원,서울특별시 강서구 까치산로10길 70 (화곡동),,37.54071221,126.847465,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"초등학교",수명초등학교,서울특별시 강서구 수명로1길 84 (내발산동),,37.55277438,126.823844,서울특별시 강서구청,강서경찰서,Y,1,12,2021-08-17
"초등학교",등마초등학교,서울특별시 강서구 등촌로35길 12 (등촌동),,37.5420258,126.8616338,서울특별시 강서구청,강서경찰서,Y,1,8,2021-08-17
"유치원",미도유치원,서울특별시 강서구 공항대로58가길 39 (등촌동),,37.550429,126.8609735,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"유치원",보라유치원,"서울특별시 강서구 공항대로39길 100 (등촌동, 대림아파트)",,37.56361546,126.847394,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"유치원",수미유치원,서울특별시 강서구 강서로17길 130 (화곡동),,37.532117,126.838533,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"유치원",신영유치원,서울특별시 강서구 곰달래로25길 4 (화곡동),,37.530958,126.849217,서울특별시 강서구청,강서경찰서,Y,1,8,2021-08-17
"유치원",대유유치원,서울특별시 강서구 곰달래로57길 39 (화곡동),,37.53400816,126.861588,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"유치원",등촌이화유치원,서울특별시 강서구 화곡로63가길 26 (등촌동),,37.5597383,126.847951,서울특별시 강서구청,강서경찰서,Y,1,10,2021-08-17
"유치원",방화이화유치원,서울특별시 강서구 양천로17길 4-55 (방화동),,37.57409045,126.8135129,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"유치원",새싹유치원,서울특별시 강서구 곰달래로49길 10 (화곡동),,37.53221274,126.8580387,서울특별시 강서구청,강서경찰서,Y,1,9,2021-08-17
"유치원",국제유치원,서울특별시 강서구 양천로30길 4 (마곡동),,37.57051178,126.822935,서울특별시 강서구청,강서경찰서,Y,1,8,2021-08-17
"유치원",선미유치원,서울특별시 강서구 까치산로2길 43 (화곡동),,37.53933048,126.843663,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"유치원",신세기유치원,"서울특별시 강서구 허준로 47 (가양동, 가양2단지아파트)",,37.57101339,126.8465865,서울특별시 강서구청,강서경찰서,Y,1,25,2021-08-17
"유치원",우일유치원,서울특별시 강서구 곰달래로47길 88 (화곡동),,37.5351277,126.855313,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"유치원",윤서유치원,"서울특별시 강서구 화곡로13길 107 (화곡동, 화곡푸르지오)",,37.54724363,126.8322457,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"유치원",등촌제일유치원,서울특별시 강서구 화곡로66길 118 (등촌동),,37.555424,126.859332,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"유치원",동그라미유치원,서울특별시 강서구 화곡로52길 14 (화곡동),,37.5501136,126.8491643,서울특별시 강서구청,강서경찰서,Y,1,6,2021-08-17
"유치원",예일유치원,서울특별시 강서구 강서로47길 126,,37.55370121,126.8291829,서울특별시 강서구청,강서경찰서,Y,1,20,2021-08-17
"유치원",강서유치원,서울특별시 강서구 까치산로 116 (화곡동),,37.54821183,126.8500391,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"유치원",윤희유치원,서울특별시 강서구 강서로 216-23,,37.54573377,126.837554,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"유치원",예은유치원,서울특별시 강서구 화곡본동 까치산로4길 101-5,,37.538834,126.847243,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"어린이집",발산어린이집,서울특별시 강서구 우장산로 45 (내발산동),,37.554404,126.8422023,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"어린이집",프란체스코어린이집,서울특별시 강서구 방화대로5다길 22-12 (공항동),,37.5555119,126.8146107,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"어린이집",으뜸어린이집,서울특별시 강서구 곰달래로53길 30-20 (화곡동),,37.53365332,126.860201,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"어린이집",상아어린이집,서울특별시 강서구 강서로56가길 55 (등촌동),,37.562025,126.840249,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"어린이집",동산어린이집,서울특별시 강서구 양천로75길 44 (염창동),,37.55153551,126.875539,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"어린이집",이레어린이집,서울특별시 강서구 금낭화로11길 48 (방화동),,37.56950782,126.810033,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"유치원",밤비니유치원,서울특별시 강서구 남부순환로7길 39 (공항동),,37.558943,126.8095884,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"특수학교",교남학교,서울특별시 강서구 까치산로22길 38 (화곡동),,37.54796965,126.8523507,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"어린이집",LG사이언스파크어린이집,서울특별시 강서구 마곡중앙10로 30(마곡동),,37.56340246,126.8312316,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
"어린이집",하늘어린이집,서울특별시 강서구 초록마을로 106(화곡본동),,37.53900534,126.8514134,서울특별시 강서구청,강서경찰서,N,,,2021-08-17
