"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",관악초등학교,서울특별시 관악구 청룡4길 49,,37.481024,126.942556,서울특별시 관악구청,서울관악경찰서,Y,4,6~20,2021-09-23
"초등학교",구암초등학교,서울특별시 관악구 봉천동 구암길 1 구암초등학교,서울특별시 관악구 봉천동 482-1,37.489217,126.946272,서울특별시 관악구청,서울관악경찰서,Y,3,6~15,2021-09-23
"초등학교",난곡초등학교,서울특별시 관악구 신림동 난곡로35길 102 정보센타동,서울특별시 관악구 신림동 711-136,37.469128,126.916342,서울특별시 관악구청,서울관악경찰서,Y,6,4~8,2021-09-23
"초등학교",난우초등학교,서울특별시 관악구 신림동 난우길 40 난우초등학교,서울특별시 관악구 신림동 589-1,37.477118,126.917652,서울특별시 관악구청,서울관악경찰서,Y,7,5~12,2021-09-23
"초등학교",난향초등학교,-,서울특별시 관악구 신림동 672-1,37.462820,126.918336,서울특별시 관악구청,서울관악경찰서,Y,5,6~20,2021-09-23
"초등학교",남부초등학교,서울특별시 관악구 남부순환로 163길 14,,37.485121,126.922117,서울특별시 관악구청,서울관악경찰서,Y,6,6~12,2021-09-23
"초등학교",당곡초등학교,서울특별시 관악구 보라매로2길 23,,37.490168,126.930369,서울특별시 관악구청,서울관악경찰서,Y,7,6~12,2021-09-23
"초등학교",미성초등학교,서울특별시 관악구 문성로 79,,37.478339,126.912394,서울특별시 관악구청,서울관악경찰서,Y,4,6~20,2021-09-23
"초등학교",사당초등학교,서울특별시 관악구 남현동 남현4길 51 사당초등학교,서울특별시 관악구 남현동 1080-1,37.473838,126.973352,서울특별시 관악구청,서울관악경찰서,Y,8,4~8,2021-09-23
"초등학교",신우초등학교,서울특별시 관악구 호암로 498,,37.463265,126.932537,서울특별시 관악구청,서울관악경찰서,Y,1,6~20,2021-09-23
"초등학교",원당초등학교,서울특별시 관악구 봉천로 505,,37.481214,126.956249,서울특별시 관악구청,서울관악경찰서,Y,4,6~25,2021-09-23
"초등학교",인헌초등학교,서울특별시 관악구 낙성대로 23,,37.476753,126.959866,서울특별시 관악구청,서울관악경찰서,Y,3,6~30,2021-09-23
"초등학교",청룡초등학교,서울특별시 관악구 관악로5길 61,,37.476725,126.951218,서울특별시 관악구청,서울관악경찰서,Y,3,5~8,2021-09-23
"초등학교",삼성초등학교,서울특별시 관악구 대학7길 52,,37.468521,126.940495,서울특별시 관악구청,서울관악경찰서,Y,2,6~8,2021-09-23
"초등학교",신림초등학교,서울특별시 관악구 문성로28길 31,,37.477150,126.926876,서울특별시 관악구청,서울관악경찰서,Y,7,6~20,2021-09-23
"초등학교",신봉초등학교,서울특별시 관악구 봉천동 양녕로6나길 1 신봉초등학교,서울특별시 관악구 봉천동 458,37.485576,126.949391,서울특별시 관악구청,서울관악경찰서,Y,10,5~8,2021-09-23
