"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",가산 어린이집,-,서울특별시 금천구 가산동 602-94,37.48275774,126.8842639,서울특별시 금천구청,금천경찰서,Y,1,6~8,2021-03-09
"초등학교",가산초등학교,서울특별시 금천구 남부순환로 1304-11,서울특별시 금천구 독산동 143-23,37.47826426,126.8962274,서울특별시 금천구청,금천경찰서,Y,1,4~12,2021-03-09
"어린이집",개미 어린이집,서울특별시 금천구 독산로54길 251,서울특별시 금천구 독산동 993-30,37.47304288,126.905858,서울특별시 금천구청,금천경찰서,Y,1,6~10,2021-03-09
"초등학교",금나래초등학교,서울특별시 금천구 시흥대로79길 37,서울특별시 금천구 독산동 441-28,37.458229,126.896205,서울특별시 금천구청,금천경찰서,y,1,10~20,2021-03-09
"초등학교",금동초등학교,서울특별시 금천구 금하로 30길 53,서울특별시 금천구 시흥동 1013-1,37.44773957,126.9163991,서울특별시 금천구청,금천경찰서,Y,1,6~12,2021-03-09
"초등학교",금산초등학교,서울특별시 금천구 시흥동 시흥대로24길 57 서울금산초등학교,서울특별시 금천구 시흥동 653-27,37.44139281,126.9078983,서울특별시 금천구청,금천경찰서,Y,1,6~10,2021-03-09
"어린이집",금주어린이집,서울특별시 금천구 시흥대로 70길 34,서울특별시 금천구 시흥동 881-25,37.45647886,126.9016607212,서울특별시 금천구청,금천경찰서,Y,1,4~8,2021-03-09
"초등학교",금천초등학교,서울특별시 금천구 탑골로 5길 60,서울특별시 금천구 시흥동 216,37.45468556,126.9127746,서울특별시 금천구청,금천경찰서,Y,1,6~10,2021-03-09
"어린이집",기쁨 어린이집,-,서울특별시 금천구 독산동 1082-11,37.46426199,126.8935571,서울특별시 금천구청,금천경찰서,Y,1,6~8,2021-03-09
"어린이집",꿈나래 어린이집,-,서울특별시 금천구 시흥동 118-4,37.45473473,126.8971618,서울특별시 금천구청,금천경찰서,Y,1,6~8,2021-03-09
"어린이집",독산본동어린이집,서울특별시 금천구 시흥대로 150길 79,서울특별시 금천구 독산동 964-46,37.47741906,126.9025099,서울특별시 금천구청,금천경찰서,Y,1,6~8,2021-03-09
"유치원",독산유치원,서울특별시 금천구 시흥대로 98길 45,서울특별시 금천구 독산동 1051-20,37.46434175,126.900288,서울특별시 금천구청,금천경찰서,Y,1,6~8,2021-03-09
