"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",상원초교,서울특별시 노원구 한글비석로54길 119,서울특별시 노원구 상계9동 645,37.66767304,127.0597184,노원구청,노원경찰서,Y,2,12~20,2021-09-15
"초등학교",상경초교,서울특별시 노원구 수락산로 237,서울특별시 노원구 상계8동 621,37.67055277,127.0516731,노원구청,노원경찰서,Y,1,9.7~22,2021-09-15
"초등학교",동일초교,서울특별시 노원구 한글비석로 566,서울특별시 노원구 상계8동 887-7,37.6648142,127.0541716,노원구청,노원경찰서,Y,1,20,2021-09-15
"초등학교",상수초교,서울특별시 노원구 동일로216길 66,서울특별시 노원구 상계7동 755,37.65110673,127.064735,노원구청,노원경찰서,Y,2,20,2021-09-15
"초등학교",용동초교,서울특별시 노원구 한글비석로1길 81-11,서울특별시 노원구 중계3동 510-7,37.64108534,127.0690832,노원구청,노원경찰서,Y,2,7~20,2021-09-15
"초등학교",녹천초교,서울특별시 노원구 마들로3길 34,서울특별시 노원구 월계3동 223,37.62850733,127.063113,노원구청,노원경찰서,Y,2,11.5~28.5,2021-09-15
"초등학교",한천초교,서울특별시 노원구 마들로 45,서울특별시 노원구 월계3동 3-7,37.62070855,127.0692456,노원구청,노원경찰서,Y,2,19.2~25,2021-09-15
"초등학교",월계초교,서울특별시 노원구 월계로45가길 10,서울특별시 노원구 월계2동 806-3,37.627663,127.0501888,노원구청,노원경찰서,Y,2,7~12,2021-09-15
"초등학교",중현초교,서울특별시 노원구 섬밭로 181,서울특별시 노원구 하계2동 340,37.63251336,127.065953,노원구청,노원경찰서,Y,1,7.5~19.5,2021-09-15
"초등학교",연촌초교,서울특별시 노원구 공릉로58길 36,서울특별시 노원구 하계1동 152,37.634416,127.0725121,노원구청,노원경찰서,Y,3,7~15,2021-09-15
"초등학교",신상계초교,서울특별시 노원구 상계로 267,서울특별시 노원구 상계4동 111,37.6675178246,127.0758263316,노원구청,노원경찰서,Y,2,"7,30",2021-09-15
"초등학교",을지초교,서울특별시 노원구 중계로 239,서울특별시 노원구 중계1동 산 72,37.65059011,127.0730898,노원구청,노원경찰서,Y,2,20~30,2021-09-15
"초등학교",불암초교,서울특별시 노원구 중계로 178,서울특별시 노원구 중계본동 257-3,37.65078343,127.080671,노원구청,노원경찰서,Y,2,8~20,2021-09-15
"초등학교",공연초교,서울특별시 노원구 동일로192가길 16,서울특별시 노원구 공릉1동 371,37.62754924,127.0745082,노원구청,노원경찰서,Y,5,4~21,2021-09-15
"초등학교",상계초교,서울특별시 노원구 상계로9길 39,서울특별시 노원구 상계2동 402-1,37.65962546,127.0664937,노원구청,노원경찰서,Y,3,8.5~30,2021-09-15
"초등학교",노원초교,서울특별시 노원구 동일로230나길 32,서울특별시 노원구 상계1동 1014,37.67359491,127.0584536,노원구청,노원경찰서,Y,4,10,2021-09-15
"초등학교",상월초교,서울특별시 노원구 동일로221길 27,서울특별시 노원구 상계10동 697,37.65865377,127.056986,노원구청,노원경찰서,Y,1,9.8,2021-09-15
"초등학교",노일초교,서울특별시 노원구 동일로231길 24,서울특별시 노원구 상계1동 1044,37.6726010269,127.0535507725,노원구청,노원경찰서,Y,3,10,2021-09-15
"초등학교",태릉초교,서울특별시 노원구 노원로1길 36,서울특별시 노원구 공릉2동 250,37.62310204,127.0850611,노원구청,노원경찰서,Y,5,8~20,2021-09-15
"초등학교",선곡초교,서울특별시 노원구 광운로2길 1,서울특별시 노원구 월계1동 470,37.61869289,127.0578035,노원구청,노원경찰서,Y,2,3.5~20,2021-09-15
"초등학교",중계초교,서울특별시 노원구 한글비석로19길 39,서울특별시 노원구 중계4동 447-2,37.65784108,127.0733117024,노원구청,노원경찰서,Y,5,5~11,2021-09-15
"초등학교",신계초교,서울특별시 노원구 초안산로 29,서울특별시 노원구 월계2동 602,37.62979181,127.0527686,노원구청,노원경찰서,Y,2,5.8~25,2021-09-15
"특수학교",정민학교,서울특별시 노원구 공릉로58길 24,서울특별시 노원구 하계동 78-14,37.633839,127.0731686,노원구청,노원경찰서,Y,1,7~15,2021-09-15
"특수학교",동천학교,서울특별시 노원구 노원로18길 41,서울특별시 노원구 하계1동 288-1,37.64451398,127.0729253,노원구청,노원경찰서,Y,2,20,2021-09-15
"어린이집",품속어린이집,서울특별시 노원구 동일로230가길 23,서울특별시 노원구 상계1동1019-83,37.673154,127.057064,노원구청,노원경찰서,Y,1,10,2021-09-15
