"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",고은초등학교,서울특별시 서대문구 모래내로 441,서울특별시 서대문구 홍제동 318-16,37.585093,126.9439752,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1,8~13,2021-06-23
"초등학교",명지초등학교,서울특별시 서대문구 명지2길 32-20,서울특별시 서대문구 홍은동 산26-127,37.58362949,126.9282301,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2,6~8,2021-06-23
"초등학교",북가좌초등학교,서울특별시 서대문구 거북골로19길 20,서울특별시 서대문구 북가좌동 376-17,37.57722183,126.9077776,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2,5~16,2021-06-23
"초등학교",연가초등학교,서울특별시 서대문구 증가로12가길 49-50,서울특별시 서대문구 남가좌동 364-6,37.57956428,126.9173296,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,4,6~20,2021-06-23
"초등학교",이대부속초등학교,서울특별시 서대문구 성산로 512-39,서울특별시 서대문구 대신동 20,37.5611486,126.9427752,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2,5~8,2021-06-23
"초등학교",인왕초등학교,서울특별시 서대문구 세무서길 33-9,서울특별시 서대문구 홍제동 245-1,37.59021925,126.9448046,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,5,13~15,2021-06-23
"초등학교",홍제초등학교,서울특별시 서대문구 홍은중앙로13,서울특별시 서대문구 홍은동 48,37.59350636,126.9454227,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,3,5~17,2021-06-23
"초등학교",금화초등학교,서울특별시 서대문구 통일로 165,서울특별시 서대문구 천연동 13-1,37.568806,126.9629404,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2,6~12,2021-06-23
"초등학교",창서초등학교,서울특별시 서대문구 연세로5나길 30-3,서울특별시 서대문구 창천동 53-38,37.55814161,126.9334788,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,5,3~8,2021-06-23
"초등학교",추계초등학교,서울특별시 서대문구 북아현로11가길 7,서울특별시 서대문구 북아현동 190-1,37.56314981,126.9540593,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2,4~14,2021-06-23
"초등학교",경기초등학교,서울특별시 서대문구 경기대로9길 10,서울특별시 서대문구 충정로2가 70-2,37.5651102,126.9628608,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,5,11~13,2021-06-23
"초등학교",대신초등학교,서울특별시 서대문구 이화여대2길 27,서울특별시 서대문구 대현동 67-1,37.55794755,126.9480383,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2,5~6,2021-06-23
"초등학교",미동초등학교,서울특별시 서대문구 충정로 52,서울특별시 서대문구 미근동 36-1,37.56334876,126.9658859,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2,9~12,2021-06-23
"초등학교",북성초등학교,서울특별시 서대문구 북아현로1나길 22,서울특별시 서대문구 북아현동 215,37.559433,126.951959,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1,6~7,2021-06-23
"초등학교",안산초등학교,서울특별시 서대문구 통일로 321,서울특별시 서대문구 홍제동 44,37.5791691,126.9522121,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,3,2~11,2021-06-23
"초등학교",연희초등학교,서울특별시 서대문구 연희로 136,서울특별시 서대문구 연희동 88-1,37.56904764,126.9341438,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,3,6~25,2021-06-23
"초등학교",홍은초등학교,서울특별시 서대문구 세검정로 105,서울특별시 서대문구 홍제동 286-5,37.59754099,126.949458,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,5,6~27,2021-06-23
"초등학교",홍연초등학교,서울특별시 서대문구 백련사길 55,서울특별시 서대문구 홍은동 305,37.58211871,126.9306604,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,3,4~10,2021-06-23
"초등학교",가재울초등학교,서울특별시 서대문구 모래내로15길 61,서울특별시 서대문구 남가좌동 385-1,37.574695,126.918151,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2,15~30,2021-06-23
"유치원",한양제일유치원,서울특별시 서대문구 통일로25길 30,서울특별시 서대문구 홍제동 82,37.58327551,126.947237,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1,15~19,2021-06-23
"유치원",연유치원,서울특별시 서대문구 명지대길 39-4,서울특별시 서대문구 남가좌동 322-35,37.58187896,126.9240746,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1,7,2021-06-23
"유치원",인왕유치원,서울특별시 서대문구 통일로32길 23,서울특별시 서대문구 홍제동 105-88,37.58547131,126.949475,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1,4,2021-06-23
"유치원",충암유치원,,서울특별시 서대문구 남가좌동 2-3,37.584535,126.922319,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2,6,2021-06-23
