"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",구립왕십리하나어린이집,서울특별시 성동구 무학봉16길 9-3,서울특별시 성동구 하왕십리동 976-13,37.560837,127.0320321,서울특별시 성동구,성동경찰서,Y,1,7,2021-09-03
"어린이집",신금호자이어린이집,서울특별시 성동구 금호로 173,서울특별시 성동구 금호동2가 1,37.5562227,127.0181532,서울특별시 성동구,성동경찰서,Y,1,7,2021-09-03
"어린이집",꿈터어린이집,서울특별시 성동구 용답동 용답중앙길 89-2 꿈터어린이집,서울특별시 성동구 용답동 19-9,37.5623123,127.055149,서울특별시 성동구,성동경찰서,Y,1,7~11,2021-09-03
"어린이집",구립홍익어린이집,서울특별시 성동구 상왕십리동 마장로 141,서울특별시 성동구 상왕십리동 813,37.56783247,127.0256323,서울특별시 성동구,성동경찰서,Y,1,7,2021-09-03
"어린이집",구립용답어린이집,서울특별시 성동구 자동차시장길 22,서울특별시 성동구 용답동 223-5,37.56118504,127.0564009,서울특별시 성동구,성동경찰서,Y,1,11~15,2021-09-03
"어린이집",구립성모어린이집,서울특별시 성동구 청계천로 506,서울특별시 성동구 마장동 527-14,37.57037131,127.033489,서울특별시 성동구,성동경찰서,Y,1,6~14,2021-09-03
"어린이집",구립금일어린이집,서울특별시 성동구 금호동1가 난계로 18 금일어린이집,서울특별시 성동구 금호동1가 622-1,37.55364643,127.0249032,서울특별시 성동구,성동경찰서,Y,1,8~9,2021-09-03
"어린이집",연꽃어린이집,서울특별시 성동구 한림말길 16-5,서울특별시 성동구 옥수동 204-8,37.5404159,127.012722,서울특별시 성동구,성동경찰서,Y,1,12,2021-09-03
"어린이집",마장어린이집,서울특별시 성동구 마장로44길 10,서울특별시 성동구 마장동 780,37.566426,127.0455793,서울특별시 성동구,성동경찰서,Y,1,24,2021-09-03
"어린이집",행응어린이집,서울특별시 성동구 독서당로63길 34,서울특별시 성동구 행당동 341-42,37.553126,127.0313028,서울특별시 성동구,성동경찰서,Y,1,7,2021-09-03
"유치원",로사유치원,서울특별시 성동구 성덕정길 23,서울특별시 성동구 성수동1가 110,37.5394137,127.0462961,서울특별시 성동구,성동경찰서,Y,1,4~9,2021-09-03
"유치원",옥수삼성유치원,서울특별시 성동구 독서당로 218,서울특별시 성동구 옥수동 250,37.54262971,127.0155564,서울특별시 성동구,성동경찰서,Y,1,6~8.5,2021-09-03
"유치원",옥정병설유치원,서울특별시 성동구 한림말길 43,서울특별시 성동구 옥수동 233-16,37.54230893,127.0157872,서울특별시 성동구,성동경찰서,Y,1,6~8.5,2021-09-03
"유치원",옥수병설유치원,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.54552993,127.0218712,서울특별시 성동구,성동경찰서,Y,1,4~13,2021-09-03
"유치원",사근병설유치원,서울특별시 성동구 사근동11길 16,서울특별시 성동구 사근동 291-5,37.56268098,127.0475736,서울특별시 성동구,성동경찰서,Y,1,8~10,2021-09-03
"유치원",마장병설유치원,서울특별시 성동구 마장동 마장로29길 29 동명초등학교 가동,서울특별시 성동구 마장동 556,37.56877574,127.0362219,서울특별시 성동구,성동경찰서,Y,1,8,2021-09-03
"유치원",경수병설유치원,서울특별시 성동구 뚝섬로13길 22,서울특별시 성동구 성수동2가 268,37.54043604,127.0580689,서울특별시 성동구,성동경찰서,Y,1,8,2021-09-03
"유치원",한양여대부속유치원,서울특별시 성동구 사근동10길 24,서울특별시 성동구 사근동 147,37.55947642,127.0490746,서울특별시 성동구,성동경찰서,Y,1,7,2021-09-03
"유치원",아이들세상유치원,서울특별시 성동구 독서당로 272,서울특별시 성동구 금호동4가 800,37.54532877,127.017941,서울특별시 성동구,성동경찰서,Y,1,5.5,2021-09-03
