"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",남명초교,서울특별시 양천구 중앙로23길 3,서울특별시 양천구 신정3동 653-5,37.515684,126.854084,서울특별시 양천구청,양천경찰서,Y,10,5,2021-06-01
"초등학교",양동초교,서울특별시 양천구 오목로23길 24,서울특별시 양천구 신정4동 941,37.525847,126.8512401949,서울특별시 양천구청,양천경찰서,Y,8,6,2021-06-01
"초등학교",강서초교,서울특별시 양천구 오목로 31,서울특별시 양천구 신월4동 441,37.522413,126.840913,서울특별시 양천구청,양천경찰서,Y,7,5,2021-06-01
"초등학교",강신초교,서울특별시 양천구 월정로 280,서울특별시 양천구 신월5동 6-7,37.542099708,126.829587,서울특별시 양천구청,양천경찰서,Y,5,7,2021-06-01
"초등학교",신원초교,서울특별시 양천구 남부순환로58길 32,서울특별시 양천구 신월3동 204,37.529559,126.829864,서울특별시 양천구청,양천경찰서,Y,6,6,2021-06-01
"초등학교",양강초교,서울특별시 양천구 오목로 101,서울특별시 양천구 신월2동 496,37.524234,126.847852,서울특별시 양천구청,양천경찰서,Y,5,6,2021-06-01
"초등학교",양원초교,서울특별시 양천구 화곡로 16,서울특별시 양천구 신월3동 40-1,37.538217,126.823106,서울특별시 양천구청,양천경찰서,Y,5,6,2021-06-01
"초등학교",갈산초교,서울특별시 양천구 목동로 31,서울특별시 양천구 신정7동 330-11,37.512372,126.870229,서울특별시 양천구청,양천경찰서,Y,8,14,2021-06-01
"초등학교",강월초교,서울특별시 양천구 신월로 97,서울특별시 양천구 신월7동 987-3,37.516341,126.833433,서울특별시 양천구청,양천경찰서,Y,5,8,2021-06-01
"초등학교",경인초교,서울특별시 양천구 안양천로 1009,서울특별시 양천구 목5동 911-4,37.532893,126.885698,서울특별시 양천구청,양천경찰서,Y,5,4,2021-06-01
"초등학교",계남초교,서울특별시 양천구 목동동로2길 54,서울특별시 양천구 신정7동 325-7,37.510169,126.860017,서울특별시 양천구청,양천경찰서,Y,5,7,2021-06-01
"초등학교",목동초교,서울특별시 양천구 목동동로12길 12,서울특별시 양천구 신정2동 86-2,37.522808,126.8721195225,서울특별시 양천구청,양천경찰서,Y,5,5,2021-06-01
"초등학교",서정초교,서울특별시 양천구 목동로8길 19,서울특별시 양천구 목1동 927-5,37.523451,126.867237,서울특별시 양천구청,양천경찰서,Y,4,7,2021-06-01
"초등학교",신목초교,서울특별시 양천구 신목로5길 11-6,서울특별시 양천구 신정2동 281-1,37.5166109770,126.872685,서울특별시 양천구청,양천경찰서,Y,6,6,2021-06-01
"초등학교",신서초교,서울특별시 양천구 목동서로10길 35,서울특별시 양천구 신정1동 312-1,37.520596,126.862332,서울특별시 양천구청,양천경찰서,Y,4,7,2021-06-01
"초등학교",양명초교,서울특별시 양천구 중앙로 204,서울특별시 양천구 신정1동 543,37.516375,126.856634,서울특별시 양천구청,양천경찰서,Y,3,7,2021-06-01
"초등학교",양목초교,서울특별시 양천구 목동로11길 30,서울특별시 양천구 신정4동 1001,37.523917,126.861471,서울특별시 양천구청,양천경찰서,Y,8,5,2021-06-01
"초등학교",양화초교,서울특별시 양천구 목동중앙북로16길 57,서울특별시 양천구 목2동 4542,37.5436692981,126.873986,서울특별시 양천구청,양천경찰서,Y,5,5,2021-06-01
"초등학교",영도초교,서울특별시 양천구 목동중앙로 70,서울특별시 양천구 목5동 903-1,37.535952,126.871944,서울특별시 양천구청,양천경찰서,Y,7,7,2021-06-01
"초등학교",월촌초교,서울특별시 양천구 목동중앙로 132,서울특별시 양천구 목5동 901-1,37.540695,126.876258,서울특별시 양천구청,양천경찰서,Y,5,7,2021-06-01
"초등학교",정목초교,서울특별시 양천구 목동중앙로3길 30-10,서울특별시 양천구 목4동 757,37.5365288457,126.870051,서울특별시 양천구청,양천경찰서,Y,16,5,2021-06-01
"초등학교",목원초교,서울특별시 양천구 목동중앙로 204,서울특별시 양천구 목5동 929,37.542936,126.882479,서울특별시 양천구청,양천경찰서,Y,2,14,2021-06-01
"초등학교",신강초교,서울특별시 양천구 목동중앙로55길 72,서울특별시 양천구 신월2동 448-5,37.525717,126.841556,서울특별시 양천구청,양천경찰서,Y,3,6,2021-06-01
"초등학교",신남초교,서울특별시 양천구 절골8길 33,서울특별시 양천구 신월6동 590-1,37.516529,126.844798,서울특별시 양천구청,양천경찰서,Y,0,5,2021-06-01
"초등학교",신기초교,서울특별시 양천구 신정로 292,서울특별시 양천구 신정3동 1274,37.511312,126.854215,서울특별시 양천구청,양천경찰서,Y,8,7,2021-06-01
"초등학교",지향초교,서울특별시 양천구 신정로11길 74,서울특별시 양천구 신정3동 1284,37.512839,126.837024,서울특별시 양천구청,양천경찰서,Y,8,6,2021-06-01
