"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",청구초등학교,서울특별시 중구 다산로 170,서울특별시 중구 신당동 330-2,37.55911668,127.0137244,서울특별시 중구,서울중부경찰서,Y,3,6,2021-09-06
"초등학교",리라초등학교,서울특별시 중구 소파로2길7,서울특별시 중구 예장동 8-163,37.5578197,126.9879807,서울특별시 중구,서울중부경찰서,Y,1,15,2021-09-06
"초등학교",덕수초등학교,서울특별시 중구 덕수궁길 140,서울특별시 중구 정동 1-6,37.56908852,126.9746581,서울특별시 중구,서울남대문경찰서,Y,2,8,2021-09-06
"초등학교",광희초등학교,서울특별시 중구 다산로 269,서울특별시 중구 신당동 254,37.56729901,127.0156883,서울특별시 중구,서울중부경찰서,Y,2,15,2021-09-06
"초등학교",충무초등학교,서울특별시 중구 퇴계로50길 13,서울특별시 중구 장충동2가 173-7,37.56194835,127.0012351,서울특별시 중구,서울중부경찰서,Y,1,20,2021-09-06
"초등학교",봉래초등학교,서울특별시 중구 손기정로 73,서울특별시 중구 만리동2가 2,37.55641234,126.9652506,서울특별시 중구,서울남대문경찰서,Y,3,8,2021-09-06
"초등학교",장충초등학교,서울특별시 중구 청구로17길40,서울특별시 중구 신당동 386-86,37.55997122,127.0117048,서울특별시 중구,서울중부경찰서,Y,3,6,2021-09-06
"초등학교",남산초등학교,서울특별시 중구 퇴계로22길 17,서울특별시 중구 남산동2가 2,37.55978501,126.986781,서울특별시 중구,서울남대문경찰서,Y,3,6,2021-09-06
"초등학교",흥인초등학교,서울특별시 중구 청구로6길 11,서울특별시 중구 신당동 292-66,37.56087001,127.0145555,서울특별시 중구,서울중부경찰서,Y,3,6,2021-09-06
"초등학교",신당초등학교,서울특별시 중구 난계로 141,서울특별시 중구 신당동 161-2,37.56362522,127.0236739,서울특별시 중구,서울중부경찰서,Y,4,25,2021-09-06
"초등학교",한성화교소학교,서울특별시 중구 명동2길 35,서울특별시 중구 명동2가 83-8,37.56222092,126.983765,서울특별시 중구,서울남대문경찰서,Y,1,6,2021-09-06
"어린이집",회현어린이집,서울특별시 중구 퇴계로12가길 23,서울특별시 중구 회현동1가 100-72,37.55586783,126.9808721,서울특별시 중구,서울남대문경찰서,Y,3,6,2021-09-06
"유치원",일신유치원,서울특별시 중구 퇴계로6길 36,서울특별시 중구 남창동 202,37.55670605,126.9789005,서울특별시 중구,서울남대문경찰서,Y,1,6,2021-09-06
