"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",서울묵동초등학교,서울특별시 중랑구 동일로 138길 27,서울특별시 중랑구 중화1동 277-1,37.60335895,127.0808259,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울면일초등학교,서울특별시 중랑구 용마산로100길 13,서울특별시 중랑구 망우3동 440,37.59204241,127.0997953,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울중화초등학교,서울특별시 중랑구 신내로7가길 22,서울특별시 중랑구 신내2동 531,37.60292027,127.094066,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울중랑초등학교,서울특별시 중랑구 봉우재로6길26,서울특별시 중랑구 면목2동 192-1,37.58966381,127.0755031,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울중곡초등학교,서울특별시 중랑구 면목로23길 20,서울특별시 중랑구 면목4동 380,37.57489299,127.0834395,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울신내초등학교,서울특별시 중랑구 용마산로 125나길 22,서울특별시 중랑구 신내1동 444,37.6049335,127.100154,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울면중초등학교,서울특별시 중랑구 용마산로 70길 43,서울특별시 중랑구 면목3.8동 491-1,37.582402,127.0965491,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울면북초등학교,서울특별시 중랑구 용마공원로 5길 32,서울특별시 중랑구 망우3동 119,37.594475,127.1035487,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울면동초등학교,서울특별시 중랑구 면목로57길 32,서울특별시 중랑구 면목본동 551,37.58535305,127.0865941,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울면남초등학교,서울특별시 중랑구 면목로 30나길 38,서울특별시 중랑구 면목7동 583-15,37.57726134,127.087667,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울망우초등학교,서울특별시 중랑구 망우로 72길 49,서울특별시 중랑구 망우본동 153-1,37.59873869,127.1038401,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울상봉초등학교,서울특별시 중랑구 동일로 126가길 11,서울특별시 중랑구 상봉1동 312-1,37.59798021,127.0831709,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"어린이집",세화어린이집,서울특별시 중랑구 동일로123길 125,서울특별시 중랑구 중화2동 328-62,37.59993259,127.073783,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"어린이집",나래어린이집,서울특별시 중랑구 봉우재로 94-3,서울특별시 중랑구 면목2동 133-3,37.59172695,127.0837119,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"어린이집",이화어린이집,서울특별시 중랑구 면목로27길 85,서울특별시 중랑구 면목4동 715-1,37.573952,127.080811,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"어린이집",상봉어린이집,서울특별시 중랑구 상봉중앙로6길 57,서울특별시 중랑구 상봉1동 287-1,37.60202594,127.0901512,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"어린이집",삼성어린이집,서울특별시 중랑구 면목로88길 9,서울특별시 중랑구 상봉2동 107-1,37.5941501,127.0869214,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"어린이집",한내들어린이집,서울특별시 중랑구 동일로139라길 24,서울특별시 중랑구 중화2동 332-48,37.604148,127.0749772,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",이루니유치원,서울특별시 중랑구 신내로7다길 57,서울특별시 중랑구 상봉1동 63,37.60162827,127.0917588,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",봄내유치원,서울특별시 중랑구 면목로61길 50,서울특별시 중랑구 면목본동 547-4,37.585935,127.085535,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",서안유치원,서울특별시 중랑구 동일로140길 15,서울특별시 중랑구 중화1동 282-12,37.604325,127.079934,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",중곡초등학교병설유치원,서울특별시 중랑구 면목로23길 20,서울특별시 중랑구 면목4동 380,37.57489299,127.0834395,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",동원초등학교병설유치원,서울특별시 중랑구 서울특별시 중랑구 송림길 114,서울특별시 중랑구 망우본동 216,37.594978,127.104928,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",수산유치원,서울특별시 중랑구 중랑역로 35-1,서울특별시 중랑구 중화2동 316-30,37.59762623,127.0759685,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",미림유치원,서울특별시 중랑구 공릉로 65,서울특별시 중랑구 묵1동 162-1,37.61646036,127.0793223,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울원묵초등학교,서울특별시 중랑구 숙선옹주로 109,서울특별시 중랑구 묵1동 11,37.6177489,127.0868129,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",동일유치원,서울특별시 중랑구 면목로35길 21,서울특별시 중랑구 면목7동 665-2,37.57814651,127.084613,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",색동유치원,서울특별시 중랑구 동일로109길 31,서울특별시 중랑구 면목2동 183-120,37.591641,127.0784011,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",동국유치원,서울특별시 중랑구 용마산로45길 36,서울특별시 중랑구 면목4동 1382,37.57385234,127.087174,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",예원유치원,서울특별시 중랑구 신내로51,서울특별시 중랑구 신내2동 783,37.6059759,127.0947267,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",정암유치원,서울특별시 중랑구 용마산로118길 55,서울특별시 중랑구 망우동 342-60,37.601161,127.1037709,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울새솔초등학교,서울특별시 중랑구 신내역로1길 164,서울특별시 중랑구 신내1동 241,37.61795176,127.1113289,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울묵현초등학교,서울특별시 중랑구 동일로157길 75,서울특별시 중랑구 묵2동 242-55,37.6090795,127.073615,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울중흥초등학교,서울특별시 중랑구 봉화산로 82,서울특별시 중랑구 중화1동 119,37.601635,127.0841443,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울중목초등학교,서울특별시 중랑구 동일로 665,서울특별시 중랑구 면목2동 180-5,37.59008654,127.079339,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울신현초등학교,서울특별시 중랑구 봉화산로 188,서울특별시 중랑구 신내2동 663,37.60581469,127.0935215,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울봉화초등학교,서울특별시 중랑구 신내로 15길 110,서울특별시 중랑구 신내2동 655,37.61357488,127.0924077,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"유치원",묵현초등학교병설유치원,서울특별시 중랑구 동일로157길 75,서울특별시 중랑구 묵2동 242-55,37.6090795,127.073615,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울면목초등학교,서울특별시 중랑구 면목로 434,서울특별시 중랑구 면목본동 221,37.59069723,127.0872887,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울동원초등학교,서울특별시 중랑구 송림길 114,서울특별시 중랑구 망우본동 216,37.60457653,127.1044914,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울금성초등학교,서울특별시 중랑구 신내로 21길 55,서울특별시 중랑구 신내2동 651,37.61531395,127.0898591,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
"초등학교",서울신묵초등학교,서울특별시 중랑구 동일로 149길 46,서울특별시 중랑구 묵2동 246-12,37.60652294,127.0758372,서울특별시 중랑구청,중랑경찰서,Y,,,2021-09-28
